activation,k,mse,cosine_sim,taylor_params,orig_params,storage_ratio
ReLU,1,0.0019941962292068637,0.6564701887220145,4224,296000,0.01427027027027027
ReLU,2,0.0020226386349531823,0.6626303686350584,8448,296000,0.02854054054054054
ReLU,4,0.0018480986483045854,0.6827496835589408,16896,296000,0.05708108108108108
ReLU,8,0.0017946393719757907,0.6962450468987227,33792,296000,0.11416216216216216
ReLU,16,0.0016785848595318384,0.7104328197240829,67584,296000,0.2283243243243243
ReLU,32,0.0016047913470247294,0.7211931203007698,135168,296000,0.4566486486486486
ReLU,64,0.0015204036556824576,0.7371877900511027,270336,296000,0.9132972972972973
ReLU,128,0.0014931526798609412,0.7415366723388434,540672,296000,1.8265945945945945
GELU,1,0.00010490878702603368,0.971685063958168,4224,296000,0.01427027027027027
GELU,2,0.00010329657290185423,0.9721278268396855,8448,296000,0.02854054054054054
GELU,4,0.00010059399943020253,0.9728673506379127,16896,296000,0.05708108108108108
GELU,8,9.764416474081373e-05,0.9736546169817447,33792,296000,0.11416216216216216
GELU,16,9.480240576522192e-05,0.9744343075454235,67584,296000,0.2283243243243243
GELU,32,9.235548566903162e-05,0.9750843450129032,135168,296000,0.4566486486486486
GELU,64,8.958174113377026e-05,0.975811142385006,270336,296000,0.9132972972972973
GELU,128,8.681709873872024e-05,0.9765805384218693,540672,296000,1.8265945945945945
SiLU,1,4.713147694337749e-05,0.9868754652440548,4224,296000,0.01427027027027027
SiLU,2,4.635124015567271e-05,0.9870967924594879,8448,296000,0.02854054054054054
SiLU,4,4.506396552733349e-05,0.9874598095715046,16896,296000,0.05708108108108108
SiLU,8,4.367524543704349e-05,0.9878405060768127,33792,296000,0.11416216216216216
SiLU,16,4.2346344467659946e-05,0.9882163105010986,67584,296000,0.2283243243243243
SiLU,32,4.11679033272776e-05,0.9885408844649791,135168,296000,0.4566486486486486
SiLU,64,3.9835476650750933e-05,0.988902182251215,270336,296000,0.9132972972972973
SiLU,128,3.850082349117656e-05,0.9892805634737015,540672,296000,1.8265945945945945
