activation,k,baseline_acc,taylor_acc,acc_drop,mse,cosine_sim,taylor_params,orig_mlp_params,storage_ratio
ReLU,1,0.975600004196167,0.9143999814987183,0.06120002269744873,7.448678970336914,0.9487728562831879,17258,418432,0.041244455490975836
ReLU,4,0.975600004196167,0.9544000029563904,0.02120000123977661,3.1357574462890625,0.9752427016019821,69032,418432,0.16497782196390334
ReLU,8,0.975600004196167,0.9502000212669373,0.025399982929229736,1.3607587814331055,0.9858686307191848,138064,418432,0.3299556439278067
ReLU,12,0.975600004196167,0.9539999961853027,0.021600008010864258,1.2116259336471558,0.9871824034035206,207096,418432,0.49493346589171
ReLU,24,0.975600004196167,0.9613999724388123,0.014200031757354736,0.7645412683486938,0.9906883399367332,414192,418432,0.98986693178342
ReLU,48,0.975600004196167,0.9588000178337097,0.016799986362457275,0.5251718759536743,0.9924931825399399,828384,418432,1.97973386356684
ReLU,96,0.975600004196167,0.9617999792098999,0.01380002498626709,0.3910183608531952,0.994500353372097,1656768,418432,3.95946772713368
GELU,1,0.9779999852180481,0.9509999752044678,0.027000010013580322,7.892193794250488,0.9618257670998573,17258,418432,0.041244455490975836
GELU,4,0.9779999852180481,0.9466000199317932,0.03139996528625488,4.610119819641113,0.9718479851484298,69032,418432,0.16497782196390334
GELU,8,0.9779999852180481,0.9358000159263611,0.04219996929168701,1.515541911125183,0.9835645676970481,138064,418432,0.3299556439278067
GELU,12,0.9779999852180481,0.9373999834060669,0.0406000018119812,1.1801799535751343,0.9870550613760948,207096,418432,0.49493346589171
GELU,24,0.9779999852180481,0.949999988079071,0.02799999713897705,0.7329878211021423,0.9908244004845619,414192,418432,0.98986693178342
GELU,48,0.9779999852180481,0.9567999839782715,0.02120000123977661,0.5109071135520935,0.9927432123422623,828384,418432,1.97973386356684
GELU,96,0.9779999852180481,0.9625999927520752,0.0153999924659729,0.36403921246528625,0.9948626957058907,1656768,418432,3.95946772713368
SiLU,1,0.9819999933242798,0.9422000050544739,0.03979998826980591,8.122686386108398,0.9574648482561111,17258,418432,0.041244455490975836
SiLU,4,0.9819999933242798,0.9599999785423279,0.022000014781951904,4.446905612945557,0.9787314269781112,69032,418432,0.16497782196390334
SiLU,8,0.9819999933242798,0.9503999948501587,0.031599998474121094,1.5138850212097168,0.9842838087081909,138064,418432,0.3299556439278067
SiLU,12,0.9819999933242798,0.9556000232696533,0.026399970054626465,1.3431823253631592,0.9863385709166527,207096,418432,0.49493346589171
SiLU,24,0.9819999933242798,0.9581999778747559,0.023800015449523926,0.881667971611023,0.9898217530846596,414192,418432,0.98986693178342
SiLU,48,0.9819999933242798,0.9639999866485596,0.018000006675720215,0.5422559976577759,0.9923414234578609,828384,418432,1.97973386356684
SiLU,96,0.9819999933242798,0.9643999934196472,0.01759999990463257,0.41412100195884705,0.9939891942381859,1656768,418432,3.95946772713368
